index	#1 Label	#2 ImageID	#3 String	#3 String
40	1	68397.jpg	RT @ NATO : $T$ appoints @ jensstoltenberg as # NATO SG as of October 1st 2014	North Atlantic Council
41	1	68397.jpg	RT @ NATO : North Atlantic Council appoints @ jensstoltenberg as $T$ SG as of October 1st 2014	# NATO
42	0	617578.jpg	RT @ htmgarcia : Drones are banned in $T$ - I expected this could be a gossip # Japan	# Hiroshima Peace Memorial Park
43	1	617578.jpg	RT @ htmgarcia : Drones are banned in # Hiroshima Peace Memorial Park - I expected this could be a gossip $T$	# Japan
44	1	638357.jpg	Results from @ IronTrac for $T$ @ # Ironman # Raleigh 70 . 3 2014	Christine Allen
45	1	638357.jpg	Results from @ IronTrac for Christine Allen @ # Ironman $T$ 70 . 3 2014	# Raleigh
46	1	701488.jpg	# TBT 2 months ago today this pic was taken during # Sochi2014 final . What was @ SledSweeney13 saying to $T$ ?	Tyler Carron
47	2	1326656.jpg	Check out the summer issue of @ familytraveller they give you the best tips for a family to discover $T$ in 48h !	Marrakech
48	1	1953977.jpg	RT @ HistoryPixs : $T$ when she was only 16 years old .	Angelina Jolie
49	1	521612.jpg	RT @ WildWiseDevon : In the spring , at the end of the day , you should smell like dirt . $T$	Margaret Atwood
50	1	1336838.jpg	RT @ MrFox13 : $T$ need to go here with the boys	Defo
51	1	1109405.jpg	Swan upping : first stop $T$ , Tower Bridge ( Tower and Olympic rings in the background )	Hermitage Warf
52	1	1109405.jpg	Swan upping : first stop Hermitage Warf , $T$ ( Tower and Olympic rings in the background )	Tower Bridge
53	1	1109405.jpg	Swan upping : first stop Hermitage Warf , Tower Bridge ( $T$ and Olympic rings in the background )	Tower
54	1	1109405.jpg	Swan upping : first stop Hermitage Warf , Tower Bridge ( Tower and $T$ rings in the background )	Olympic
55	1	72008.jpg	This passes for snow in $T$ # blackhawks # winterclassic	DC
56	1	72008.jpg	This passes for snow in DC $T$ # winterclassic	# blackhawks
57	1	570930.jpg	RT @ thinkprogress : $T$ and the invisible plight of black women in the justice system	Sandra Bland
58	1	1472725.jpg	RT @ LadyGagaNowNet : $T$ getting a drink at the bar at The Oscars 2014 .	Lady Gaga
59	1	1472725.jpg	RT @ LadyGagaNowNet : Lady Gaga getting a drink at $T$ bar at The Oscars 2014 .	the
60	1	1472725.jpg	RT @ LadyGagaNowNet : Lady Gaga getting a drink at the bar at $T$ 2014 .	The Oscars
61	2	34793.jpg	@ BetterCallSaul : Happy birthday , $T$ ! Happy birthday , master !	Vince Gilligan
62	2	1075863.jpg	$T$ and SDU Campus Kolding have been awarded The International Architecture Award	Moesgaard Museum
63	2	1075863.jpg	Moesgaard Museum and $T$ have been awarded The International Architecture Award	SDU Campus Kolding
64	1	1075863.jpg	Moesgaard Museum and SDU Campus Kolding have been awarded $T$	The International Architecture Award
65	1	1027114.jpg	RT @ AnimalsAsia : Special Report : Dog meat wars : 5 stories that shocked $T$	Vietnam
66	2	21311.jpg	RT @ Steve OS : $T$ Achievement Unlocked	DeAndre Jordan
67	1	669523.jpg	BREAKING NEWS : $T$ youngster Junior Malanda has died in a car accident , according to BILD .	Wolfsburg
68	0	669523.jpg	BREAKING NEWS : Wolfsburg youngster $T$ has died in a car accident , according to BILD .	Junior Malanda
69	1	669523.jpg	BREAKING NEWS : Wolfsburg youngster Junior Malanda has died in a car accident , according to $T$ .	BILD
70	1	659252.jpg	RT @ zgarrison3 : @ ukghosthunting $T$ According to Herman Klein , it was taken in 1898 : )	The Elixir Of Youth
71	1	659252.jpg	RT @ zgarrison3 : @ ukghosthunting The Elixir Of Youth According to $T$ , it was taken in 1898 : )	Herman Klein
72	1	130789.jpg	One week to go until our visit to the Australian Embassy in $T$ for morning tea with the Ambassador .	Indonesia
73	2	70471.jpg	RT @ BobBuckhorn : $T$ opens new lacrosse stadium . Generous donation from Vince Namoli made it happen .	U of Tampa
74	2	70471.jpg	RT @ BobBuckhorn : U of Tampa opens new lacrosse stadium . Generous donation from $T$ made it happen .	Vince Namoli
75	1	1009286.jpg	@ harunmaruf : Outside # BuloMarer , $T$ commander Gen . Dick Olum finds a souvenir after al # shabab were overwhelmed !	AMISOM
76	1	1009286.jpg	@ harunmaruf : Outside # BuloMarer , AMISOM commander $T$ . Dick Olum finds a souvenir after al # shabab were overwhelmed !	Gen
77	1	1009286.jpg	@ harunmaruf : Outside # BuloMarer , AMISOM commander Gen . $T$ finds a souvenir after al # shabab were overwhelmed !	Dick Olum
78	2	500370.jpg	RT @ buziosglobalusa : $T$ in # Tokyo Station # HappyHolidays	# Christmas
79	2	500370.jpg	RT @ buziosglobalusa : # Christmas in $T$ # HappyHolidays	# Tokyo Station
80	0	886689.jpg	So sorry to hear about $T$ and Kris Medlen needing # TommyJohn again . Great pitchers .	Jarrod Parker
81	0	886689.jpg	So sorry to hear about Jarrod Parker and $T$ needing # TommyJohn again . Great pitchers .	Kris Medlen
82	1	480117.jpg	RT @ InsideHoops : $T$ update :	DeAndre Jordan
83	2	13680.jpg	Honored to be here in $T$ @ jworldwatch IWitness Award given to Intel 4 commitment to only use conflict free minerals	LA
84	2	13680.jpg	Honored to be here in LA @ jworldwatch IWitness Award given to $T$ commitment to only use conflict free minerals	Intel 4
85	2	1717237.jpg	Second awesome event of the day : Open Schools $T$ launch @ GroundTruthIn @ DGateway @ OpenGovHub	Kenya
86	1	1787734.jpg	RT @ favecrushes : $T$ before and after	Aaron Johnson
87	2	65352.jpg	RT @ MarinaConcert : $T$ meeting diamonds after the show tonight ! ! !	Marina
88	1	557517.jpg	# Cancer patient $T$ and family pose with @ NdamukongSuh for the # GameOnCancer fundraising campaign .	Michael Gabriel
89	2	515898.jpg	RT @ THEMAZElSACODE : RT if $T$ is your favorite character in The Maze Runner trilogy !	Newt
90	1	2077969.jpg	This is where $T$ Lincoln was not only born , but raised . Amy Schumer at Lincoln Center	Abe
91	1	2077969.jpg	This is where Abe $T$ was not only born , but raised . Amy Schumer at Lincoln Center	Lincoln
92	1	2077969.jpg	This is where Abe Lincoln was not only born , but raised . $T$ at Lincoln Center	Amy Schumer
93	1	2077969.jpg	This is where Abe Lincoln was not only born , but raised . Amy Schumer at $T$	Lincoln Center
94	1	1908966.jpg	RT @ 1D Beards : Real life $T$ ? I think so . - Blaze	Peter Pan
95	0	73134.jpg	RT @ chicagotribune : Update : $T$ says no planes in U . S . destined to cross Midwest can depart until at least 10 a . m . h	FAA
96	1	73134.jpg	RT @ chicagotribune : Update : FAA says no planes in U . S . destined to cross $T$ can depart until at least 10 a . m . h	Midwest
97	1	525824.jpg	RT @ EarthBeauties : $T$ , California	San Francisco
98	1	525824.jpg	RT @ EarthBeauties : San Francisco , $T$	California
99	1	127300.jpg	RT @ ABCFpll : RT if you would want $T$ to bring you pie ! # FatalFinale	Ezra
100	1	116790.jpg	10 Tips for Better Smartphone Photography from $T$ Founder Flo Meissner	EyeEm
101	1	116790.jpg	10 Tips for Better Smartphone Photography from EyeEm Founder $T$	Flo Meissner
102	2	1831392.jpg	RT @ lindsapple : In two years , $T$ has aged 10 years and also become the Hulk .	Bryce Harper
103	1	1831392.jpg	RT @ lindsapple : In two years , Bryce Harper has aged 10 years and also become the $T$ .	Hulk
104	2	703723.jpg	. @ RoKhannaUSA visited $T$ today , what a great community in # Milpitas # CA17	Good Shepherd Community Church
105	1	703723.jpg	. @ RoKhannaUSA visited Good Shepherd Community Church today , what a great community in $T$ # CA17	# Milpitas
106	1	641920.jpg	RT @ Lokatza ZE : @ MikelAristi Seguran garaile . ZORIONAK MIKEL ! ! $T$ # TXIRRINDULARITZA	# BERGARA
107	2	73252.jpg	RT @ JasperBol : Exercising replenishment at sea approaches en route $T$ !	Scotland
108	1	1377967.jpg	RT @ CIothesPorn : $T$ defender Julie Johnston is perfection	USA
109	2	1377967.jpg	RT @ CIothesPorn : USA defender $T$ is perfection	Julie Johnston
110	2	424585.jpg	Hmm , my trip to # NewYork this Friday looks quite . . refreshing . Just like going back home to $T$ : ) # snow # travel	# finland
111	1	70574.jpg	RT @ cherylmcnamara : To change everything we need everyone . At Mayday studio in $T$ . Artists prep for # PeoplesMarch .	Brooklyn
112	0	818604.jpg	$T$ at # LiarTimesNow rubbishes everyone who produces a counter opinion ! Unhealthy debates and opinionated agenda !	Arnab
113	1	1767744.jpg	RT @ robindbrant : rifkind statement to the $T$ over cash for access claims from daily telegraph channel 4	BBC
114	2	1063211.jpg	NEW : Incredibly $T$ Born in the Streets , by David Zinn -	Quirky Chalk Art
115	1	1063211.jpg	NEW : Incredibly Quirky Chalk Art Born in the Streets , by $T$ -	David Zinn
116	1	1141954.jpg	$T$ thought we all need to have the courage to be wise , as though something is precluding us	Kant
117	1	1062932.jpg	$T$ in a mascot suit on Shark Tank	Bill Walton
118	2	1005869.jpg	Ahem @ inallthechaos haha : ) RT @ heyitskenn @ FootyHumour Where it all went wrong for $T$	Spain
119	1	1042378.jpg	Children were part of history in $T$ , 1965 : # OccupySELMA	# Selma
120	1	111515.jpg	Need a $T$ ? We can help	# DataLake Foundation
121	1	807130.jpg	RT @ FemalePains : $T$ still trying to find those 75 , 000 earrings that Kim lost in the ocean	Kris
122	0	807130.jpg	RT @ FemalePains : Kris still trying to find those 75 , 000 earrings that $T$ lost in the ocean	Kim
123	1	450320.jpg	RT @ KardashianReact : $T$ loves his wife so he holds her hand . Kanye loves Kanye so he holds Kanye hand .	John
124	1	450320.jpg	RT @ KardashianReact : John loves his wife so he holds her hand . $T$ loves Kanye so he holds Kanye hand .	Kanye
125	2	450320.jpg	RT @ KardashianReact : John loves his wife so he holds her hand . Kanye loves $T$ so he holds Kanye hand .	Kanye
126	2	450320.jpg	RT @ KardashianReact : John loves his wife so he holds her hand . Kanye loves Kanye so he holds $T$ hand .	Kanye
127	1	872892.jpg	RT @ bloemhof54 : There are always flowers for those who want to see them . - $T$	Henri Matisse
128	1	23390.jpg	RT @ shaunwalker7 : Lord , $T$ has an entire section of mad books about Ukraine	Dom Knigi
129	0	23390.jpg	RT @ shaunwalker7 : Lord , Dom Knigi has an entire section of mad books about $T$	Ukraine
130	1	74684.jpg	RT @ SoonerScoop : # Sooners latest commitment CB Parrish Cobb ( @ pcthedb4 ) of $T$ before his first scrimmage of the year .	Waco La Vega
131	0	20107.jpg	RT @ ksatnews : SAFD : People trapped in elevator at $T$ # KSATnews	Tower of the Americas
132	1	7865.jpg	RT @ washingtonpost : Human safaris in the $T$ may put uncontacted tribes at risk	Amazon basin
133	1	70395.jpg	First day of school in $T$ and at Cameron Elementary . This kindergartener wasn ' t impressed by the mayoral visit	Chicago
134	0	70395.jpg	First day of school in Chicago and at $T$ . This kindergartener wasn ' t impressed by the mayoral visit	Cameron Elementary
135	1	116551.jpg	Currency is participation and social engagement . RT @ LesaUkman IEG : $T$ speaking at # IEG2013 , @ Movember	Adam Garrone
136	2	1765264.jpg	RT @ ThisIsRobThomas : A Message from $T$ https : t . co erjtQifL80	Mari
137	2	92180.jpg	Join us today at 9am amp 11am as Pastor $T$ brings a powerful message on how God has created you to change the game !	Keith
138	2	875874.jpg	Resolved : $T$ are the best snack food on the market .	Takis Fuego
139	2	254182.jpg	RT @ Luke5SOS : $T$ and Luigi dominated the dance floor as per usual	Mario
140	2	254182.jpg	RT @ Luke5SOS : Mario and $T$ dominated the dance floor as per usual	Luigi
141	0	73093.jpg	$T$ officer injured after vehicle flips at Ashland Montrose . Intersection closed , avoid	CPD
142	1	480647.jpg	RT @ ZaibatsuPlanet : Pink Morning by $T$ # photo	Zermie
143	1	423017.jpg	RT @ timring3TV : Meet $T$ high - level prospect Anthony Duclair tonight at 6 : 25 on @ 3TVSports	Coyotes
144	1	423017.jpg	RT @ timring3TV : Meet Coyotes high - level prospect $T$ tonight at 6 : 25 on @ 3TVSports	Anthony Duclair
145	1	478533.jpg	My view at breakfast today . $T$ .	Breckinridge
146	1	116290.jpg	$T$ expands Calibre 110 collection with new Calibre 111 RT @ elevenjames	Oris
147	1	116290.jpg	Oris expands $T$ collection with new Calibre 111 RT @ elevenjames	Calibre 110
148	1	116290.jpg	Oris expands Calibre 110 collection with new $T$ RT @ elevenjames	Calibre 111
149	1	128023.jpg	Contact $T$ to outlaw puppy mills in 2015 . @ ALDF has taken the lead please RT	Congress
150	1	41899.jpg	$T$ family says Keith left a good job w family business and was aware of dangers fighting ISIS # FOX25	Broomfield
151	2	41899.jpg	Broomfield family says $T$ left a good job w family business and was aware of dangers fighting ISIS # FOX25	Keith
152	0	41899.jpg	Broomfield family says Keith left a good job w family business and was aware of dangers fighting $T$ # FOX25	ISIS
153	2	550071.jpg	$T$	William Hague
154	1	926460.jpg	RT @ ermnarry : Retweet if they are your source of happiness # Vote1D $T$	# KCA
155	2	506192.jpg	Free drinks ? Magic ! Register your $T$ amp start earning the way to Gold : # goforgold	Starbucks Card
156	0	384951.jpg	RT @ PaulHeggenWSMV : Tornado Warning for $T$ county . Rotation just south of Lebanon .	Wilson
157	0	384951.jpg	RT @ PaulHeggenWSMV : Tornado Warning for Wilson county . Rotation just south of $T$ .	Lebanon
158	1	812074.jpg	Visiting $T$ , The Philippines via @ michaelturtle # ttot # travel # volcano	Taal Volcano
159	1	812074.jpg	Visiting Taal Volcano , The $T$ via @ michaelturtle # ttot # travel # volcano	Philippines
160	0	822293.jpg	Ladies and gentlemen , I present $T$ -	Goldman Sachs
161	0	421295.jpg	Single vehicle crash into light pole closes $T$ intersection .	Gilbert
162	1	240616.jpg	RT @ Inspiredneuron : When I let go of what I have , I receive what I need - $T$	Lao Tzu
163	2	481201.jpg	Thanks $T$ for # Hagerstown bike tour	# CVCC
164	2	481201.jpg	Thanks # CVCC for $T$ bike tour	# Hagerstown
165	2	146252.jpg	RT @ MuggleNet : Wishing $T$ a very Happy Birthday today ! # HappyBirthdayMaggieSmith	Dame Maggie Smith
166	2	49622.jpg	RT @ LDN : $T$ last night # CharlieHebdo	Paris
167	2	14665.jpg	RT @ TheBeautifulCar : $T$	Galaxy Ferrari
168	2	90078.jpg	RT @ WillHillBet : The $T$ fans gave Xavi a nice send off . # 6raciesXavi # LaLiga	Barcelona
169	2	90078.jpg	RT @ WillHillBet : The Barcelona fans gave $T$ a nice send off . # 6raciesXavi # LaLiga	Xavi
170	2	93184.jpg	RT @ T twitt : $T$ amp Julie Christie	Raquel Welch
171	2	93184.jpg	RT @ T twitt : Raquel Welch amp $T$	Julie Christie
172	2	699969.jpg	# One2watch $T$ already won 3 # Paralympic medals ! RT if you think he can add some more # Road2Sochi	Jakub Krako
173	1	699969.jpg	# One2watch Jakub Krako already won 3 $T$ medals ! RT if you think he can add some more # Road2Sochi	# Paralympic
174	1	29896.jpg	$T$ by Richard Wagner at the ancient Roman theatre of Athens	Flying Dutschman
175	1	29896.jpg	Flying Dutschman by $T$ at the ancient Roman theatre of Athens	Richard Wagner
176	1	29896.jpg	Flying Dutschman by Richard Wagner at the ancient $T$ theatre of Athens	Roman
177	1	29896.jpg	Flying Dutschman by Richard Wagner at the ancient Roman theatre of $T$	Athens
178	1	33908.jpg	RT @ BostonDotCom : 40 years ago today , $T$ schools were ordered to desegregate	Boston
179	0	71471.jpg	Walking home from school over blood stains in $T$ , hours after a man died . # NextDayChi 10 :	Gresham
180	1	72618.jpg	RT @ Rotorfocus : The $T$ is trying out the SABIR pylon on its C - 130Js turning it into a multi - mission platform .	Danish Air Force
181	1	72618.jpg	RT @ Rotorfocus : The Danish Air Force is trying out the SABIR pylon on its $T$ turning it into a multi - mission platform .	C - 130Js
182	1	94015.jpg	$T$ : this Wed nite 7 . 23 - spinning an all - James Brown set before this free film screening at St . Nicholas Park .	NYC
183	1	605818.jpg	RT @ Welcome us : . @ Chirlane McCray , wife of $T$ Mayor Bill De Blasio , has Bajan Ghanian ancestry ! # IHM2015	NYC
184	2	605818.jpg	RT @ Welcome us : . @ Chirlane McCray , wife of NYC $T$ , has Bajan Ghanian ancestry ! # IHM2015	Mayor Bill De Blasio
185	2	605818.jpg	RT @ Welcome us : . @ Chirlane McCray , wife of NYC Mayor Bill De Blasio , has $T$ Ghanian ancestry ! # IHM2015	Bajan
186	2	605818.jpg	RT @ Welcome us : . @ Chirlane McCray , wife of NYC Mayor Bill De Blasio , has Bajan $T$ ancestry ! # IHM2015	Ghanian
187	1	73853.jpg	Preparing the sand at $T$ for Memorial Day weekend . Chicago beaches open Saturday !	Hayes Beach
188	1	73853.jpg	Preparing the sand at Hayes Beach for $T$ weekend . Chicago beaches open Saturday !	Memorial Day
189	1	73853.jpg	Preparing the sand at Hayes Beach for Memorial Day weekend . $T$ beaches open Saturday !	Chicago
190	1	74167.jpg	RT @ ShitBsbPlyrsSay : The $T$ made the rookies go get Coffee	Cardinals
191	2	1779633.jpg	RT @ AjaySharmaFCO : Delighted to be back in $T$ and that the Embassy has reopened . # UK # Iran	Tehran
192	1	1779633.jpg	RT @ AjaySharmaFCO : Delighted to be back in Tehran and that the Embassy has reopened . $T$ # Iran	# UK
193	1	1779633.jpg	RT @ AjaySharmaFCO : Delighted to be back in Tehran and that the Embassy has reopened . # UK $T$	# Iran
194	1	1084327.jpg	RT @ StephanieArts : My drawing of @ LaurenSocha as $T$ . Hope you like it ! # Misfits # misstheshow	Kelly Bailey
195	1	1084327.jpg	RT @ StephanieArts : My drawing of @ LaurenSocha as Kelly Bailey . Hope you like it ! $T$ # misstheshow	# Misfits
196	1	1719707.jpg	RT @ 1DInfectionMNL : $T$ from January 2014 to December 2014 # 14MomentsOfZayn	Zayn
197	2	653235.jpg	RT @ CHANBAEKUNION : VOTE FOR BAEKHYUN AS $T$ PRESIDENT . HAHAHAHHAA : D ( cr . garcon )	CHANYEOL FANCLUB
198	2	478494.jpg	Great run today in $T$ in Glenwood Springs , CO .	White River National Forest
199	1	478494.jpg	Great run today in White River National Forest in $T$ , CO .	Glenwood Springs
200	1	1993706.jpg	Expressive portraits of people from all walks of life by $T$	Jonathan Willis
201	1	523563.jpg	RT @ DierksBentley : $T$ : You lit it up tonight ! # SoldierField	CHICAGO
202	1	728939.jpg	RT @ iArunJ : Interesting piece by @ Sportingabhi : Eng v $T$ : stats suggest Fletcher should go	India
203	1	728939.jpg	RT @ iArunJ : Interesting piece by @ Sportingabhi : Eng v India : stats suggest $T$ should go	Fletcher
204	1	841659.jpg	$T$ Updates AdWords Keyword Qual . . . # google # SEO # Socialmedia	Google
205	1	841659.jpg	Google Updates $T$ Keyword Qual . . . # google # SEO # Socialmedia	AdWords
206	1	841659.jpg	Google Updates AdWords Keyword Qual . . . $T$ # SEO # Socialmedia	# google
207	1	734179.jpg	RT @ l elwood : $T$ shares the importance of partnerships at # OTEW2014 # tl	Graham Pullen
208	0	12849.jpg	RT @ FRANCE24 : New documents shed light on $T$ failings 20 years on	Srebrenica
209	0	34586.jpg	RT @ TheOnion : $T$ Admits Role In 1985 Coup To Oust David Lee Roth	CIA
210	1	34586.jpg	RT @ TheOnion : CIA Admits Role In 1985 Coup To Oust $T$	David Lee Roth
211	2	583416.jpg	RT @ SteveMariucci : Gettin ready for the Draft at Raos - - $T$ ! !	NYC
212	0	48509.jpg	RT @ nytimes : How $T$ is worse off than the U . S . in the Great Depression	Greece
213	0	48509.jpg	RT @ nytimes : How Greece is worse off than the U . S . in the $T$	Great Depression
214	1	209240.jpg	Man Made Frozen Waterfall from Hot Water Tap Left on all Winter # Crazy # Bizarre $T$	# China
215	2	1767740.jpg	Awesome weather at $T$ !	Laguna Beach
216	2	73226.jpg	$T$ quarterbacks Jimmy Clausen and Jay Cutler take the field to face the Niners in SF	# Bears
217	2	73226.jpg	# Bears quarterbacks $T$ and Jay Cutler take the field to face the Niners in SF	Jimmy Clausen
218	2	73226.jpg	# Bears quarterbacks Jimmy Clausen and $T$ take the field to face the Niners in SF	Jay Cutler
219	1	73226.jpg	# Bears quarterbacks Jimmy Clausen and Jay Cutler take the field to face the $T$ in SF	Niners
220	1	73085.jpg	$T$ gets the gameplan : more pictures # Bulls	Kirk Hinrich
221	1	73085.jpg	Kirk Hinrich gets the gameplan : more pictures $T$	# Bulls
222	1	240939.jpg	RT @ ImitationGame : $T$ acknowledges Alan Turing as a true hero . # ImitationGame	The LGBT community
223	2	240939.jpg	RT @ ImitationGame : The LGBT community acknowledges $T$ as a true hero . # ImitationGame	Alan Turing
224	1	73052.jpg	5 years ago today I was in $T$ on the Picasso , barely ready for the first ballot # chicago2016 # backthebid	Daley Plaza
225	1	73052.jpg	5 years ago today I was in Daley Plaza on the $T$ , barely ready for the first ballot # chicago2016 # backthebid	Picasso
226	1	72904.jpg	$T$ on the front page of @ chicagotribune today . Photos and Blair Kamin review :	# 1WTC
227	1	72904.jpg	# 1WTC on the front page of @ chicagotribune today . Photos and $T$ review :	Blair Kamin
228	1	159708.jpg	RT @ HuffPostSports : Legendary $T$ dunker Darryl Dawkins dead at 58	NBA
229	0	159708.jpg	RT @ HuffPostSports : Legendary NBA dunker $T$ dead at 58	Darryl Dawkins
230	2	1444667.jpg	RT @ Ahmed91Gooner : $T$ is back . ( Via @ Stuart PhotoAFC )	Koscielny
231	1	72145.jpg	RT @ PietBrouwerET : Follow our progress on $T$ via a live webcam	Acta Orion
232	1	2014884.jpg	RT @ AngrygirLcomics : This is a great pic of $T$	Benedict Cumberbatch
233	1	1942382.jpg	RT @ 5SOSPHTeam : $T$ is going to be on Ellen . Here are the channels and their schedules .	5SOS
234	1	1942382.jpg	RT @ 5SOSPHTeam : 5SOS is going to be on $T$ . Here are the channels and their schedules .	Ellen
235	1	116293.jpg	Top 10 Buildings for Luxury Living in $T$	NYC
236	2	15883.jpg	RT @ girlposts : I still miss this $T$ though	Disney channel
237	2	444038.jpg	RT @ LittleMix : Hurry up $T$ ! ! ! ! We got a meeting soon ! Xx	Leigh
238	1	7498.jpg	RT @ allkpop : 2013 revenue from $T$ , YG , and JYP Entertainment revealed	SM
239	1	7498.jpg	RT @ allkpop : 2013 revenue from SM , $T$ , and JYP Entertainment revealed	YG
240	1	7498.jpg	RT @ allkpop : 2013 revenue from SM , YG , and $T$ Entertainment revealed	JYP
241	1	319676.jpg	RT @ nflnetwork : Up Next - A Football Life : $T$ . STREAM :	Ricky Williams
242	1	1087217.jpg	RT @ SuicideGirls : $T$ is a photographer from Brazil ! Learn more about this babe at	Zad Suicide
243	1	1087217.jpg	RT @ SuicideGirls : Zad Suicide is a photographer from $T$ ! Learn more about this babe at	Brazil
244	2	319246.jpg	RT @ TVGuide : Check out a first look at $T$ as Reverse Flash ! # TheFlash	Tom Cavanagh
245	2	319246.jpg	RT @ TVGuide : Check out a first look at Tom Cavanagh as $T$ ! # TheFlash	Reverse Flash
246	2	1285253.jpg	$T$ enjoys a birthday bath - - and a blue snout . Join us this weekend : Photo by Sandi Wong	Jillian
247	1	1285253.jpg	Jillian enjoys a birthday bath - - and a blue snout . Join us this weekend : Photo by $T$	Sandi Wong
248	0	547370.jpg	@ NationalZoo # PandaCam2 Depressed by the shutdown , $T$ the Panda started off her morning with a large glass of wine	Lucy
249	1	136920.jpg	This beautiful RL bag is in $T$ , China .	Macau
250	1	136920.jpg	This beautiful RL bag is in Macau , $T$ .	China
251	0	46037.jpg	RT @ voxdotcom : The 4 key things $T$ did wrong on its UVA story	Rolling Stone
252	1	46037.jpg	RT @ voxdotcom : The 4 key things Rolling Stone did wrong on its $T$ story	UVA
253	1	552214.jpg	$T$ blasts sensationalists , liars and race - baiters , saying We are done with you . # Louisville	River City FOP
254	1	552214.jpg	River City FOP blasts sensationalists , liars and race - baiters , saying We are done with you . $T$	# Louisville
255	1	440398.jpg	# newUScitizen @ USCIS @ USCIS es $T$ # FourthofJuly	# america
256	1	93160.jpg	$T$ over open innovatie in partnerships .	Robert Stadman
